id,toa,qyes_total,qno_total,mask_prop,med_prop,group,final_score,status
367,3.0,0.0,2.0,0.2,0.0,,,infected
368,,0.0,0.0,0.13333333333333333,0.0,,,not_infected
369,4.0,1.0,1.0,0.13333333333333333,0.0,,,infected
370,,0.0,0.0,0.0,0.0,,,not_infected
371,,1.0,1.0,0.06666666666666667,0.0,,,not_infected
372,6.0,0.0,1.0,0.13333333333333333,0.0,,,infected
373,,0.0,8.0,0.06666666666666667,0.0,,,not_infected
374,,1.0,3.0,0.0,0.06666666666666667,,,not_infected
375,,0.0,0.0,0.06666666666666667,0.0,,,not_infected
376,,0.0,4.0,0.06666666666666667,0.0,,,not_infected
377,1.0,1.0,2.0,0.06666666666666667,0.0,,,infected
378,5.0,1.0,8.0,0.06666666666666667,0.0,,,infected
379,9.0,1.0,5.0,0.13333333333333333,0.0,,,infected
380,4.0,0.0,1.0,0.26666666666666666,0.0,,,infected
381,,0.0,12.0,0.0,0.0,,,not_infected
382,7.0,0.0,4.0,0.06666666666666667,0.0,,,infected
383,,2.0,0.0,0.0,0.0,,,not_infected
384,2.0,0.0,1.0,0.06666666666666667,0.0,,,infected
385,2.0,0.0,2.0,0.06666666666666667,0.0,,,infected
386,,0.0,0.0,0.06666666666666667,0.0,,,not_infected
387,2.0,1.0,2.0,0.0,0.0,,,infected
388,,0.0,3.0,0.06666666666666667,0.0,,,not_infected
389,3.0,0.0,4.0,0.06666666666666667,0.0,,,infected
390,,0.0,0.0,0.0,0.0,,,not_infected
391,3.0,0.0,3.0,0.06666666666666667,0.0,,,infected
392,3.0,0.0,1.0,0.0,0.0,,,infected
393,5.0,0.0,5.0,0.0,0.0,,,infected
394,,0.0,2.0,0.06666666666666667,0.0,,,not_infected
395,3.0,0.0,10.0,0.13333333333333333,0.0,,,infected
396,,0.0,0.0,0.0,0.0,,,not_infected
397,2.0,1.0,1.0,0.13333333333333333,0.0,,,infected
398,,0.0,1.0,0.0,0.0,,,not_infected
399,,0.0,0.0,0.0,0.0,,,not_infected
400,3.0,6.0,2.0,0.0,0.0,,,infected
401,3.0,1.0,1.0,0.06666666666666667,0.0,,,infected
402,,2.0,0.0,0.2,0.0,,,not_infected
403,8.0,1.0,8.0,0.06666666666666667,0.0,,,infected
404,3.0,0.0,2.0,0.13333333333333333,0.0,,,infected
405,3.0,0.0,1.0,0.13333333333333333,0.0,,,infected
406,,0.0,1.0,0.13333333333333333,0.0,,,not_infected
407,4.0,1.0,2.0,0.06666666666666667,0.0,,,infected
408,,3.0,0.0,0.06666666666666667,0.0,,,not_infected
409,,3.0,0.0,0.0,0.0,,,not_infected
410,,7.0,5.0,0.2,0.0,,,not_infected
411,3.0,1.0,6.0,0.06666666666666667,0.06666666666666667,,,infected
412,,0.0,2.0,0.06666666666666667,0.0,,,not_infected
413,3.0,0.0,9.0,0.0,0.0,,,infected
414,,0.0,0.0,0.0,0.0,,,not_infected
415,,0.0,5.0,0.0,0.0,,,not_infected
416,,0.0,1.0,0.06666666666666667,0.0,,,not_infected
417,2.0,0.0,0.0,0.0,0.0,,,infected
418,,0.0,4.0,0.0,0.0,,,not_infected
419,,0.0,1.0,0.0,0.0,,,not_infected
420,5.0,0.0,11.0,0.06666666666666667,0.0,,,infected
421,,0.0,8.0,0.06666666666666667,0.0,,,not_infected
422,,1.0,0.0,0.0,0.0,,,not_infected
423,,0.0,0.0,0.06666666666666667,0.0,,,not_infected
424,6.0,1.0,6.0,0.26666666666666666,0.0,,,infected
425,,0.0,4.0,0.0,0.0,,,not_infected
426,9.0,0.0,2.0,0.0,0.0,,,infected
427,3.0,0.0,4.0,0.0,0.0,,,infected
428,3.0,0.0,1.0,0.06666666666666667,0.0,,,infected
429,,0.0,3.0,0.06666666666666667,0.0,,,not_infected
430,,0.0,0.0,0.0,0.0,,,not_infected
431,,0.0,0.0,0.0,0.0,,,not_infected
432,,2.0,0.0,0.13333333333333333,0.0,,,not_infected
433,2.0,0.0,3.0,0.0,0.0,,,infected
434,2.0,1.0,3.0,0.0,0.0,,,infected
435,2.0,1.0,1.0,0.0,0.0,,,infected
436,9.0,8.0,0.0,0.06666666666666667,0.0,,,infected
437,,0.0,1.0,0.0,0.0,,,not_infected
438,,1.0,4.0,0.06666666666666667,0.0,,,not_infected
439,,2.0,6.0,0.0,0.0,,,not_infected
440,3.0,0.0,9.0,0.0,0.0,,,infected
441,,0.0,2.0,0.06666666666666667,0.0,,,not_infected
442,,0.0,0.0,0.0,0.0,,,not_infected
443,,0.0,0.0,0.0,0.0,,,not_infected
444,3.0,0.0,0.0,0.0,0.0,,,infected
